window_seconds,stride_seconds,subject,total_windows,y_classify_fall_valid,y_classify_fall_ignored,y_classify_movement_valid,y_classify_movement_ignored,y_classify_posture_valid,y_classify_posture_ignored,y_classify_transition_valid,y_classify_transition_ignored,y_complete_valid,y_complete_ignored,y_detect_fall_valid,y_detect_fall_ignored,y_detect_movement_valid,y_detect_movement_ignored,y_unified_valid,y_unified_ignored
2.0,1.0,ID1,1573,112,1461,617,956,813,760,31,1542,1573,0,1573,0,1573,0,1542,31
2.0,1.0,ID2,2597,116,2481,1466,1131,978,1619,37,2560,2597,0,2597,0,2597,0,2560,37
2.0,1.0,ID3,2586,116,2470,1395,1191,1039,1547,36,2550,2586,0,2586,0,2586,0,2550,36
2.0,1.0,ID4,2172,116,2056,1181,991,845,1327,30,2142,2172,0,2172,0,2172,0,2142,30
2.0,1.0,ID6,2670,110,2560,1423,1247,1098,1572,39,2631,2670,0,2670,0,2670,0,2631,39
2.0,1.0,ID7,2663,120,2543,1494,1169,1008,1655,41,2622,2663,0,2663,0,2663,0,2622,41
2.0,1.0,ID8,2590,109,2481,1489,1101,946,1644,46,2544,2590,0,2590,0,2590,0,2544,46
2.0,1.0,ID9,1164,102,1062,594,570,444,720,24,1140,1164,0,1164,0,1164,0,1140,24
2.0,1.0,ID10,2842,107,2735,1893,949,797,2045,45,2797,2842,0,2842,0,2842,0,2797,45
2.0,1.0,ID11,2709,116,2593,1695,1014,852,1857,46,2663,2709,0,2709,0,2709,0,2663,46
2.0,1.0,ID12,2794,114,2680,1715,1079,915,1879,50,2744,2794,0,2794,0,2794,0,2744,50
2.0,1.0,ID13,2732,123,2609,1573,1159,996,1736,40,2692,2732,0,2732,0,2732,0,2692,40
2.0,1.0,ID14,2834,123,2711,1672,1162,994,1840,45,2789,2834,0,2834,0,2834,0,2789,45
2.0,1.0,ID15,2486,124,2362,1534,952,809,1677,19,2467,2486,0,2486,0,2486,0,2467,19
5.0,1.0,ID1,1324,113,1211,536,788,648,676,27,1297,1324,0,1324,0,1324,0,1297,27
5.0,1.0,ID2,2264,125,2139,1316,948,791,1473,32,2232,2264,0,2264,0,2264,0,2232,32
5.0,1.0,ID3,2259,126,2133,1246,1013,850,1409,37,2222,2259,0,2259,0,2259,0,2222,37
5.0,1.0,ID4,1881,125,1756,1054,827,680,1201,22,1859,1881,0,1881,0,1881,0,1859,22
5.0,1.0,ID6,2328,119,2209,1263,1065,920,1408,26,2302,2328,0,2328,0,2328,0,2302,26
5.0,1.0,ID7,2321,125,2196,1345,976,818,1503,33,2288,2321,0,2321,0,2321,0,2288,33
5.0,1.0,ID8,2263,138,2125,1346,917,752,1511,27,2236,2263,0,2263,0,2263,0,2236,27
5.0,1.0,ID9,945,110,835,509,436,304,641,22,923,945,0,945,0,945,0,923,22
5.0,1.0,ID10,2488,114,2374,1730,758,622,1866,22,2466,2488,0,2488,0,2488,0,2466,22
5.0,1.0,ID11,2364,128,2236,1543,821,663,1701,30,2334,2364,0,2364,0,2364,0,2334,30
5.0,1.0,ID12,2434,116,2318,1551,883,740,1694,27,2407,2434,0,2434,0,2434,0,2407,27
5.0,1.0,ID13,2372,124,2248,1412,960,808,1564,28,2344,2372,0,2372,0,2372,0,2344,28
5.0,1.0,ID14,2468,127,2341,1506,962,799,1669,36,2432,2468,0,2468,0,2468,0,2432,36
5.0,1.0,ID15,2183,125,2058,1393,790,652,1531,13,2170,2183,0,2183,0,2183,0,2170,13
